Iteracao,Tempo(ns),Nome,Paradigma,Quantidade_Threads
461,96705072,Dracula-165307,Paralelo-GPU,4
462,127042201,Dracula-165307,Paralelo-GPU,4
463,145245706,Dracula-165307,Paralelo-GPU,4
464,120237268,Dracula-165307,Paralelo-GPU,4
465,96607779,Dracula-165307,Paralelo-GPU,4
466,167722557,Dracula-165307,Paralelo-GPU,4
467,153875254,Dracula-165307,Paralelo-GPU,4
468,119045044,Dracula-165307,Paralelo-GPU,4
469,103592370,Dracula-165307,Paralelo-GPU,4
470,110413257,Dracula-165307,Paralelo-GPU,4
471,126334183,Dracula-165307,Paralelo-GPU,4
472,137947105,Dracula-165307,Paralelo-GPU,4
473,190471942,Dracula-165307,Paralelo-GPU,4
474,115813724,Dracula-165307,Paralelo-GPU,4
475,158618236,Dracula-165307,Paralelo-GPU,4
476,81664195,Dracula-165307,Paralelo-GPU,4
477,82917566,Dracula-165307,Paralelo-GPU,4
478,95376605,Dracula-165307,Paralelo-GPU,4
479,95036966,Dracula-165307,Paralelo-GPU,4
480,103543090,Dracula-165307,Paralelo-GPU,4
481,117640762,Dracula-165307,Paralelo-GPU,4
482,138693239,Dracula-165307,Paralelo-GPU,4
483,130401139,Dracula-165307,Paralelo-GPU,4
484,105159418,Dracula-165307,Paralelo-GPU,4
485,66923222,Dracula-165307,Paralelo-GPU,4
486,68045908,Dracula-165307,Paralelo-GPU,4
487,62550254,Dracula-165307,Paralelo-GPU,4
488,61923349,Dracula-165307,Paralelo-GPU,4
489,61697979,Dracula-165307,Paralelo-GPU,4
490,65861334,Dracula-165307,Paralelo-GPU,4
491,61149103,Dracula-165307,Paralelo-GPU,4
492,65383638,Dracula-165307,Paralelo-GPU,4
493,63682914,Dracula-165307,Paralelo-GPU,4
494,67012226,Dracula-165307,Paralelo-GPU,4
495,73979456,Dracula-165307,Paralelo-GPU,4
496,94171867,Dracula-165307,Paralelo-GPU,4
497,82472317,Dracula-165307,Paralelo-GPU,4
498,68461356,Dracula-165307,Paralelo-GPU,4
499,62623963,Dracula-165307,Paralelo-GPU,4
500,66044165,Dracula-165307,Paralelo-GPU,4
501,91562245,Dracula-165307,Paralelo-GPU,4
502,82620321,Dracula-165307,Paralelo-GPU,4
503,81095321,Dracula-165307,Paralelo-GPU,4
504,91134700,Dracula-165307,Paralelo-GPU,4
505,78673811,Dracula-165307,Paralelo-GPU,4
506,63433004,Dracula-165307,Paralelo-GPU,4
507,61963390,Dracula-165307,Paralelo-GPU,4
508,63661668,Dracula-165307,Paralelo-GPU,4
509,72014582,Dracula-165307,Paralelo-GPU,4
510,92040193,Dracula-165307,Paralelo-GPU,4
511,77647532,Dracula-165307,Paralelo-GPU,4
512,63800561,Dracula-165307,Paralelo-GPU,4
513,69497999,Dracula-165307,Paralelo-GPU,4
514,74347721,Dracula-165307,Paralelo-GPU,4
515,85423297,Dracula-165307,Paralelo-GPU,4
516,82764377,Dracula-165307,Paralelo-GPU,4
517,66897484,Dracula-165307,Paralelo-GPU,4
518,61901237,Dracula-165307,Paralelo-GPU,4
519,62718944,Dracula-165307,Paralelo-GPU,4
520,62592431,Dracula-165307,Paralelo-GPU,4
521,62346897,Dracula-165307,Paralelo-GPU,4
522,63860469,Dracula-165307,Paralelo-GPU,4
523,79091727,Dracula-165307,Paralelo-GPU,4
524,73356057,Dracula-165307,Paralelo-GPU,4
525,72228870,Dracula-165307,Paralelo-GPU,4
526,64040121,Dracula-165307,Paralelo-GPU,4
527,64009168,Dracula-165307,Paralelo-GPU,4
528,62842425,Dracula-165307,Paralelo-GPU,4
529,63554110,Dracula-165307,Paralelo-GPU,4
530,64788742,Dracula-165307,Paralelo-GPU,4
531,63367392,Dracula-165307,Paralelo-GPU,4
